,index,estimator,value,x,se,bias,variance
30,5,MSIPS,0.32163600580693363,1500,0.5898533505156007,0.2829497302314663,1.0922915206051467
31,5,MIIPS,0.4458960961920992,1500,0.4602213519782363,0.538475772455607,0.001068858456440123
32,5,RIPS,0.4228468811809932,1500,0.4830534592446322,0.08495779264673942,11.795171356743362
33,5,MRIPS,0.49478427292242716,1500,0.4136231733759472,0.33369932645001676,0.3508338193957168
34,5,MRIPS (w/SLOPE),0.3655731237344222,1500,0.5421808908012542,0.38750185136136367,0.15584658250680922
35,5,AIPS (w/UBT),0.3657259637859347,1500,0.5420185624724925,0.10914993443028836,15.291602467908401
36,6,MSIPS,0.23490991844897452,1500,0.6898474343065741,0.2829497302314663,1.0922915206051467
37,6,MIIPS,0.44606433051184174,1500,0.4600567342188131,0.538475772455607,0.001068858456440123
38,6,RIPS,0.42278147850639175,1500,0.4831190322960791,0.08495779264673942,11.795171356743362
39,6,MRIPS,0.3638143708305726,1500,0.5440505756457217,0.33369932645001676,0.3508338193957168
40,6,MRIPS (w/SLOPE),0.3173452699791084,1500,0.5946165136713281,0.38750185136136367,0.15584658250680922
41,6,AIPS (w/UBT),0.43056958034037973,1500,0.47534192997306574,0.10914993443028836,15.291602467908401
42,7,MSIPS,0.40014892775015204,1500,0.5060777780571343,0.2829497302314663,1.0922915206051467
43,7,MIIPS,0.39182662611316377,1500,0.5146540392179678,0.538475772455607,0.001068858456440123
44,7,RIPS,0.6328541237367248,1500,0.29544893744080125,0.08495779264673942,11.795171356743362
45,7,MRIPS,0.46656222513137585,1500,0.44021985159409777,0.33369932645001676,0.3508338193957168
46,7,MRIPS (w/SLOPE),0.3922647645682863,1500,0.5142007337563351,0.38750185136136367,0.15584658250680922
47,7,AIPS (w/UBT),0.6018379910507055,1500,0.32026841469128053,0.10914993443028836,15.291602467908401
48,8,MSIPS,1.0903838084809547,1500,0.04560682727830364,0.2829497302314663,1.0922915206051467
49,8,MIIPS,0.3543110405826322,1500,0.5542089970999557,0.538475772455607,0.001068858456440123
50,8,RIPS,0.33570014866061254,1500,0.5743749776157666,0.08495779264673942,11.795171356743362
51,8,MRIPS,0.6612946007130516,1500,0.2735701849285044,0.33369932645001676,0.3508338193957168
52,8,MRIPS (w/SLOPE),0.6237564411277101,1500,0.3026252782588172,0.38750185136136367,0.15584658250680922
53,8,AIPS (w/UBT),0.4677043183761226,1500,0.43912744516677965,0.10914993443028836,15.291602467908401
54,9,MSIPS,0.18739981500908295,1500,0.7479436347803768,0.2829497302314663,1.0922915206051467
55,9,MIIPS,0.3890801880508983,1500,0.517500100368624,0.538475772455607,0.001068858456440123
